score,review,y
4,,1
3,양념이 너무 달다. 그래도 배는 부름,0
1,알바생들이 교육이 잘안된건지 융통성이 없던건지ㅋㅋㅋㅋㅋ 볶음밥시켰는데 불이 계속 안켜졌는데 안켜지면 가스통을 바꾸던가 다른곳에서 볶아와야하는거아님? 근데 또 안되네 이러면서 우물쭈물하다가 밥만 비비고 가서 볶음밥이 아니라 비빔밥먹음ㅋ ,0
1,"먹다 수세미? 조각 나와서 사장 나와라고 하고 싶었지만, 용기가 없어서 그냥 나옴  가지 마세요.",0
4,배불러요,1
1,"옛전에는 이러지 않았는데 아쉽네요. 닭갈비랑 볶음밥 양이 엄청 작아졌고, 명동점은 닭갈비에 소스가 남아있지않으면 소스 조금 더 가져와서 간이 맞게 볶아주고 닭 남았으면 닭도 같이 볶아줍니다. 대체 직원교육을 어떻게 시켰는지 사장님 마인드가 다 보여요. 닭갈비랑 토핑 추가 주문하려는데 ""닭갈비 는 2인분 부터 주문 가능하세요."" 하더니 그냥 가버리고 토핑은 ...",0
1,진심으로 돈 아까웠던곳 양도 너무 적고 중간맛은 밍밍 볶음밥 시키고 나서 거의 다 남겼습니다 고추장에 설탕 왕창 부은맛이구요 진짜로 리뷰 거의 안쓰는데 너무 한거같습니다….,0
5,사장님들 친절한 서비스 감사합니다!,1
2,맛있는지 모르겠다 너무 달고 짜고 좀 맛에대한 퀄리티가 많이 떨어짐 그냥 치즈넣어서 사진으로만 이쁘게 찍히는 닭갈비임 양도 적다 3인분 시켰는데 딱봐도 그냥 2인분 준거같음 사리 많이 시켰는데 그만큼 고기가 줄어듬 ㅋㅋ 직원들도 분주하고 산만함 일은 안하고 농땡이피고 음악소리에 춤추고 지들끼리 장난치고 손님들 밥먹는데 무례함,0
3,맛있는지는 모르겠어요. 후각 좋은 사람들은 닭 잡내 맡을 수 있어요. 특별히 반찬도 없고 아무것도 없고 닭갈비만 나오는데 양이 많은것도 아니예요. 근데 가격은 일반 닭갈비집에 비해 비쌈.,0
3,치즈 플레이팅?이 예쁘게 돼서 유명한 것 같은데 맛은 아무 닭갈비집이랑 차이는 없다. 가격만 좀 더 높을 뿐.,0
2,"비주얼에 비해 맛은? 음...  1. 드럼스틱살, 양배추, 떡, 조미료 가득한 양념으로만 맛을 내서그런지 3개 정도 먹다보면 질림.  2. 당면이 다 불어서 나옴. 어제 만들어놓은 음식 먹는 느낌.  3. 오랜만에 닭이다싶어 젓가락으로 집으면 양배추임.  4. 중간맛은 안 매운맛임.   총평) 마늘, 양파 등을 추가하여 재료를 조금 더 풍성하게 할 필요가 ...",0
5,저번에 맛있어서 또 방문했는데 역시나 맛있어요!!! 이러다 단골될듯ㅋㅋ,1
5,깔끔하고 맛있어요 !! 볶음밥도 원래 닭갈비 양념이랑 맛이 분리되는데 이곳은 그렇지 않아 정말 좋았어요 ㅎㅎ 직원분들도 친절하시네요 !!! 왕추천입니다,1
5,우선 닭갈비 솔직히 맛있음 양념이 자극적이지 않고 중독성 있음 직원들 친절함 아래 리뷰들 이해가 안감 가게가 바뀐건지 내가 알수없지만 참고로 난 만족한곳들만 리뷰함 ,1
5,너무 맛있습니다 !!  한끼 식사로 좋네요 ㅎㅎ,1
1,사리를 추가하면 그만큼 고기가 없어짐 ㅋㅋㅋ 강남역에 닭갈비집이 없어서 장사가 잘되는듯,0
2,"블로그에 또 속았네요...ㅜㅜ  맛은평범. 4인분 중 닭고기양은 엄청 조금이고, 직원들중 캐셔보시는 분 완전 불친절. ",0
5,완죤맛집~~~,1
1,맛이…,0
1,먹고 하루지난 뒤인 지금도 계속 배아파요ㅠㅠㅠ 혹시나하고 들어와봤더니 다른분들도 그러시네요,0
3,이정도면 맛있다고 할수 있는것 같습니다.  가면 또 가겠지만 일부러 먹으러 찾아갈까 싶기도 한 적당한 집. 당면넣어주는게 좋았어요ㅎ,0
5,매번 좋은 사람들 만날때 방문하는데 매번 맛이 좋네요. ,1
5,학원끝나고 일주일에 두세번은 가는 듯 ㅎㅋㅋㅋ 장인닭갈비 너무 맛있어요!,1
5,매운 닭갈비에 치즈추가하면 남부러울게 없지,1
4,룸에서 모임하기 좋아요.,1
